video_id,published_at,cohort_time
w8znJO6mWXc,2026-05-06T22:30:13Z,2026-05-07 04:48:21.836592
7YLMkOfd7F0,2026-05-06T16:50:00Z,2026-05-07 04:48:21.836601
11cHbsqnFos,2026-05-06T19:00:26Z,2026-05-07 04:48:21.836605
SqpDw2nNBm0,2026-05-06T17:02:33Z,2026-05-07 04:48:21.836607
m75AZ0rapz8,2026-05-06T19:23:06Z,2026-05-07 04:48:21.836610
9OHJuaecqkc,2026-05-06T17:07:52Z,2026-05-07 04:48:21.836612
t6iOhN7P3j0,2026-05-06T19:30:14Z,2026-05-07 04:48:21.836615
kwLUVYZALDs,2026-05-06T17:21:09Z,2026-05-07 04:48:21.836617
nGmwS0r_MrI,2026-05-06T23:40:00Z,2026-05-07 04:48:21.836619
QyyKZYnD7pw,2026-05-06T21:42:40Z,2026-05-07 04:48:21.836621
Kp3gEkzeNNg,2026-05-06T17:26:08Z,2026-05-07 04:48:21.836624
DZEfFdbb1SE,2026-05-06T17:21:03Z,2026-05-07 04:48:21.836626
5qsrCRPpxbk,2026-05-06T21:56:38Z,2026-05-07 04:48:21.836628
mt29cU4uI-g,2026-05-06T22:17:14Z,2026-05-07 04:48:21.836631
fh7vCfaVwno,2026-05-06T16:51:34Z,2026-05-07 04:48:21.836636
gqK8TggkzfI,2026-05-06T23:21:00Z,2026-05-07 04:48:21.836639
gv9ztxapyL0,2026-05-07T00:00:45Z,2026-05-07 04:48:21.836641
62WigB3G_Pk,2026-05-07T00:00:14Z,2026-05-07 04:48:21.836643
m9UnGE7ykOY,2026-05-06T21:25:37Z,2026-05-07 04:48:21.836646
XdSG7DA6EOg,2026-05-06T17:35:30Z,2026-05-07 04:48:21.836648
0R28PVc8qh0,2026-05-06T21:47:47Z,2026-05-07 04:48:21.836651
PfkNba1O6ec,2026-05-07T01:00:23Z,2026-05-07 04:48:21.836653
5JKuVN3L7mc,2026-05-07T00:00:04Z,2026-05-07 04:48:21.836655
8jwQIV2UwbM,2026-05-06T23:41:51Z,2026-05-07 04:48:21.836657
BczMFhe-MLM,2026-05-06T20:29:52Z,2026-05-07 04:48:21.836659
2tp29gpaRWU,2026-05-06T16:58:05Z,2026-05-07 04:48:21.836662
TAlkqlnakh0,2026-05-07T00:00:12Z,2026-05-07 04:48:21.836664
3f6ZNPbl5jk,2026-05-06T16:52:35Z,2026-05-07 04:48:21.836666
