video_id,views,likes,comments,tracked_at
2A4C6Dpiod4,54019,208,1,2026-04-22 14:12:10.884194
ncSecGdH7rg,46189,1095,7,2026-04-22 14:12:10.884195
dVXQazWGqVQ,45927,380,2,2026-04-22 14:12:10.884197
DF9WGou4ffA,30229,0,1,2026-04-22 14:12:10.884198
GElOK8JXlXI,33769,569,7,2026-04-22 14:12:10.884200
-tccKyTazdw,23488,128,0,2026-04-22 14:12:10.884201
GVir39PsE6g,30608,72,1,2026-04-22 14:12:10.884203
jPyMJ5W-AOE,37660,0,3,2026-04-22 14:12:10.884205
9PjbZzKVdZw,29524,184,0,2026-04-22 14:12:10.884206
7oBKFVItzsU,657212,0,2,2026-04-22 16:26:39.465700
ppFBhivpaGE,493192,1287,0,2026-04-22 16:26:39.465726
VrBgkDnksDI,324689,1615,1,2026-04-22 16:26:39.465731
Ef-7oED0mq4,144148,8793,271,2026-04-22 16:26:39.465736
7EmZyk8MLNQ,273066,0,2,2026-04-22 16:26:39.465740
_Dtsn9DzIbs,228434,1796,0,2026-04-22 16:26:39.465744
G-pTfMOY9QE,301055,6669,417,2026-04-22 16:26:39.465747
4XAK7-VZX6Q,426007,0,4,2026-04-22 16:26:39.465750
rvMbdIJnM1I,212435,0,2,2026-04-22 16:26:39.465753
LMSKC7drnMA,107643,0,1,2026-04-22 16:26:39.465757
71-KRdBGlsI,406906,11978,42,2026-04-22 16:26:39.465760
gIZoO48ePNs,197104,1018,1,2026-04-22 16:26:39.465763
9Z6s2IeafHM,67481,390,1,2026-04-22 16:26:39.465766
Z4ufGu70hYk,52975,0,1,2026-04-22 16:26:39.465769
Q3ggtN1Y-OM,223287,706,1,2026-04-22 16:26:39.465773
aJWuMnhx294,118607,706,2,2026-04-22 16:26:39.465776
GH0WPFOB4Jg,187349,1494,1,2026-04-22 16:26:39.465779
-dUURnwXGpQ,44591,1701,60,2026-04-22 16:26:39.465782
4zsaw5a2LlE,384435,0,0,2026-04-22 16:26:39.465786
8RsnBgq3ClM,36635,326,2,2026-04-22 16:26:39.465789
7CdV10Ezbec,127865,1647,10,2026-04-22 16:26:39.465792
vyqf_fSfM14,239374,3441,10,2026-04-22 16:26:39.465795
CrPcSO3Ksqc,41406,0,0,2026-04-22 16:26:39.465798
kCTZ0o7MS3M,32132,0,2,2026-04-22 16:26:39.465801
c8ksB0mVzPU,626968,26375,413,2026-04-22 16:26:39.465804
y5-pCtvyeU0,48354,0,1,2026-04-22 16:26:39.465807
kxOtnzuYHo0,41537,175,0,2026-04-22 16:26:39.465811
ODYlII65Ezg,37199,215,1,2026-04-22 16:26:39.465814
tI67adV3pXY,32485,297,0,2026-04-22 16:26:39.465817
JbiHS32r48w,130276,0,1,2026-04-22 16:26:39.465820
qCPUL-n2zEM,32755,0,1,2026-04-22 16:26:39.465823
GB92jfG0Aww,37668,782,41,2026-04-22 16:26:39.465827
Bl66lNBD-U4,26554,385,1,2026-04-22 16:26:39.465830
MKvmhS2WElo,27593,0,2,2026-04-22 16:26:39.465833
jaIQWlDTLUY,174812,3099,6,2026-04-22 16:26:39.465836
iVnxwkHDD3Q,31582,656,28,2026-04-22 16:26:39.465839
n22uDbchZYs,38039,159,0,2026-04-22 16:26:39.465842
LEIgQtVwJGk,32336,678,4,2026-04-22 16:26:39.465845
6vaEALEbKmo,34488,168,1,2026-04-22 16:26:39.465848
fAwjFITVLzs,49442,0,1,2026-04-22 16:26:39.465851
hB6WnL80HNI,20325,819,11,2026-04-22 16:26:39.465854
2A4C6Dpiod4,55846,215,1,2026-04-22 16:26:39.465857
ncSecGdH7rg,54807,1281,7,2026-04-22 16:26:39.465860
dVXQazWGqVQ,140627,863,3,2026-04-22 16:26:39.465863
DF9WGou4ffA,37310,0,1,2026-04-22 16:26:39.465866
GElOK8JXlXI,40157,654,8,2026-04-22 16:26:39.465869
-tccKyTazdw,23643,128,0,2026-04-22 16:26:39.465872
GVir39PsE6g,30789,72,1,2026-04-22 16:26:39.465875
jPyMJ5W-AOE,40967,0,3,2026-04-22 16:26:39.465878
9PjbZzKVdZw,29952,187,0,2026-04-22 16:26:39.465881
7oBKFVItzsU,659924,0,2,2026-04-22 18:23:01.648086
ppFBhivpaGE,601877,1579,0,2026-04-22 18:23:01.648102
VrBgkDnksDI,339060,1688,1,2026-04-22 18:23:01.648106
Ef-7oED0mq4,150344,8999,276,2026-04-22 18:23:01.648108
7EmZyk8MLNQ,286607,0,2,2026-04-22 18:23:01.648111
_Dtsn9DzIbs,235207,1833,0,2026-04-22 18:23:01.648113
G-pTfMOY9QE,393397,7220,448,2026-04-22 18:23:01.648115
4XAK7-VZX6Q,482308,0,4,2026-04-22 18:23:01.648117
rvMbdIJnM1I,221038,0,2,2026-04-22 18:23:01.648119
LMSKC7drnMA,110588,0,1,2026-04-22 18:23:01.648120
71-KRdBGlsI,579819,14197,46,2026-04-22 18:23:01.648123
gIZoO48ePNs,236318,1064,1,2026-04-22 18:23:01.648125
9Z6s2IeafHM,69892,400,1,2026-04-22 18:23:01.648126
Z4ufGu70hYk,56208,0,1,2026-04-22 18:23:01.648128
Q3ggtN1Y-OM,235752,726,1,2026-04-22 18:23:01.648130
aJWuMnhx294,126904,718,2,2026-04-22 18:23:01.648132
GH0WPFOB4Jg,214409,1531,2,2026-04-22 18:23:01.648133
-dUURnwXGpQ,54970,2115,63,2026-04-22 18:23:01.648135
4zsaw5a2LlE,401887,0,0,2026-04-22 18:23:01.648137
8RsnBgq3ClM,37040,328,2,2026-04-22 18:23:01.648139
7CdV10Ezbec,164818,1691,10,2026-04-22 18:23:01.648140
vyqf_fSfM14,278311,3897,10,2026-04-22 18:23:01.648142
CrPcSO3Ksqc,41502,0,0,2026-04-22 18:23:01.648143
kCTZ0o7MS3M,32923,0,2,2026-04-22 18:23:01.648145
c8ksB0mVzPU,699474,27901,429,2026-04-22 18:23:01.648147
y5-pCtvyeU0,52224,0,1,2026-04-22 18:23:01.648149
kxOtnzuYHo0,43913,179,0,2026-04-22 18:23:01.648151
ODYlII65Ezg,37278,215,1,2026-04-22 18:23:01.648152
