video_id,views,likes,comments,tracked_at,cohort_id
1109gqO5oGo,523755,15019,97,2026-05-14 08:05:26.877501,cohort3
oFmD2PbIftA,169552,9389,17,2026-05-14 08:05:26.877501,cohort3
FIjlwByE538,119219,3523,62,2026-05-14 08:05:26.877501,cohort3
KvcxuhWbbSA,61112,7818,87,2026-05-14 08:05:26.877501,cohort3
8nzSD5N2ip8,66095,452,1,2026-05-14 08:05:26.877501,cohort3
Xg8JvTyeWx0,49218,636,2,2026-05-14 08:05:26.877501,cohort3
Y1_yTNuyqHQ,48753,357,3,2026-05-14 08:05:26.877501,cohort3
WyBG1FZf648,40974,1077,0,2026-05-14 08:05:26.877501,cohort3
VUFud-jmMz8,39808,518,68,2026-05-14 08:05:26.877501,cohort3
q19jN8Tq9E0,48579,858,0,2026-05-14 08:05:26.877501,cohort3
Q_yg2CxvGlw,34544,340,1,2026-05-14 08:05:26.877501,cohort3
zHkcFTFmKyY,31976,2133,21,2026-05-14 08:05:26.877501,cohort3
0yOf48MRCIY,48633,159,0,2026-05-14 08:05:26.877501,cohort3
rGU3yh7lpZk,24924,345,95,2026-05-14 08:05:26.877501,cohort3
pYcZ9vZFrxM,26848,586,0,2026-05-14 08:05:26.877501,cohort3
R-R6W9GHMRk,22356,307,0,2026-05-14 08:05:26.877501,cohort3
IGpatKX-31M,80369,4242,39,2026-05-14 08:05:26.877501,cohort3
OwLH9rBDov0,20789,724,6,2026-05-14 08:05:26.877501,cohort3
YEpIh5Yxokw,34177,362,55,2026-05-14 08:05:26.877501,cohort3
NXBTs29o9Gg,17427,104,1,2026-05-14 08:05:26.877501,cohort3
gJA5y-IMAjY,15889,0,4,2026-05-14 08:05:26.877501,cohort3
txBVIsLzQWw,20140,279,10,2026-05-14 08:05:26.877501,cohort3
8jkuLdsL4oo,19739,265,7,2026-05-14 08:05:26.877501,cohort3
L3xEAoyytak,28235,122,0,2026-05-14 08:05:26.877501,cohort3
CU3tv6GxuBE,26518,268,2,2026-05-14 08:05:26.877501,cohort3
M4cS4JpUi3o,28573,120,1,2026-05-14 08:05:26.877501,cohort3
el22dLXLTu4,11383,0,1,2026-05-14 08:05:26.877501,cohort3
jZgiOKhWpU0,29690,85,10,2026-05-14 08:05:26.877501,cohort3
rMXdW6EVyBM,15898,355,54,2026-05-14 08:05:26.877501,cohort3
VU32Dbqwv6A,140693,6828,35,2026-05-14 08:05:26.877501,cohort3
cboM6w8VVoM,47951,5832,137,2026-05-14 08:05:26.877501,cohort3
Dym9-kWiInM,8542,201,2,2026-05-14 08:05:26.877501,cohort3
cvQicVgPqTI,17706,56,0,2026-05-14 08:05:26.877501,cohort3
-FrE6TbNvQc,9311,116,0,2026-05-14 08:05:26.877501,cohort3
zj_mYNB7Jlg,13751,1274,77,2026-05-14 08:05:26.877501,cohort3
frzMrzw_pDQ,11083,106,0,2026-05-14 08:05:26.877501,cohort3
Q1uudWcokRo,81823,1873,11,2026-05-14 08:05:26.877501,cohort3
J4DbUap0BZg,161214,2992,15,2026-05-14 08:05:26.877501,cohort3
m2WKhTH5EFk,6937,0,39,2026-05-14 08:05:26.877501,cohort3
hK_MNZuuGeY,9521,80,0,2026-05-14 08:05:26.877501,cohort3
zk8w4Dya8_g,7382,145,2,2026-05-14 08:05:26.877501,cohort3
s_xsGqyAzpI,10894,225,1,2026-05-14 08:05:26.877501,cohort3
4EQwN_0F4-E,15479,20,0,2026-05-14 08:05:26.877501,cohort3
1JveZuqNmRI,12816,40,0,2026-05-14 08:05:26.877501,cohort3
jVst40VuzDA,12099,10,15,2026-05-14 08:05:26.877501,cohort3
p-meA4uy4eE,6240,185,4,2026-05-14 08:05:26.877501,cohort3
nPdZiCG5l8E,9738,63,2,2026-05-14 08:05:26.877501,cohort3
DQ0PfQ4dZH8,6718,105,1,2026-05-14 08:05:26.877501,cohort3
waw_egstnZE,43119,538,13,2026-05-14 08:05:26.877501,cohort3
Su1QwBXmj6w,6623,50,2,2026-05-14 08:05:26.877501,cohort3
VxJWnTcsXeE,15924,78,0,2026-05-14 08:05:26.877501,cohort3
W7ywyXGSi7E,8392,34,0,2026-05-14 08:05:26.877501,cohort3
pVnKfsgQMmw,8792,98,0,2026-05-14 08:05:26.877501,cohort3
yOmoEWmAy58,15578,30,0,2026-05-14 08:05:26.877501,cohort3
RiXmHyCW7Mo,7835,693,488,2026-05-14 08:05:26.877501,cohort3
U6j8_ZHO5k0,5393,240,25,2026-05-14 08:05:26.877501,cohort3
ss-MMlWVrLY,5845,386,5,2026-05-14 08:05:26.877501,cohort3
0XBme2bWQi0,19503,2708,119,2026-05-14 08:05:26.877501,cohort3
DhWH-XRwmy4,7974,44,0,2026-05-14 08:05:26.877501,cohort3
BQq9EnmSFGI,5405,0,0,2026-05-14 08:05:26.877501,cohort3
-Ehr7b7ljds,3495,275,5,2026-05-14 08:05:26.877501,cohort3
UFzE0aPrFJ0,11996,51,0,2026-05-14 08:05:26.877501,cohort3
olBXTQxAnKk,8780,15,8,2026-05-14 08:05:26.877501,cohort3
TeS-6k_BWa0,4882,246,39,2026-05-14 08:05:26.877501,cohort3
h6kAY7B-WwE,11117,23,0,2026-05-14 08:05:26.877501,cohort3
pyMNhJXOJOI,5718,31,1,2026-05-14 08:05:26.877501,cohort3
yDVbCPNFz_U,4255,197,13,2026-05-14 08:05:26.877501,cohort3
rVM522pWfQE,9115,12,1,2026-05-14 08:05:26.877501,cohort3
OEhZ0FvfKeE,15634,1792,15,2026-05-14 08:05:26.877501,cohort3
SnS_QqS1rRI,8003,84,0,2026-05-14 08:05:26.877501,cohort3
tGBI-X5GdtM,6222,0,3,2026-05-14 08:05:26.877501,cohort3
6WANHvHT1mI,6312,32,1,2026-05-14 08:05:26.877501,cohort3
uzfOQydNpJs,2537,40,12,2026-05-14 08:05:26.877501,cohort3
t92n8bszngs,8946,38,0,2026-05-14 08:05:26.877501,cohort3
v7dFdqvElTE,3033,116,65,2026-05-14 08:05:26.877501,cohort3
B7IpuDdlFgo,6323,23,0,2026-05-14 08:05:26.877501,cohort3
qJrrNqmdFIM,3827,0,2,2026-05-14 08:05:26.877501,cohort3
GYW9PV0MtsQ,4644,75,1,2026-05-14 08:05:26.877501,cohort3
FlH3raMSdfU,2854,36,0,2026-05-14 08:05:26.877501,cohort3
17s3uKE5ARI,5596,31,0,2026-05-14 08:05:26.877501,cohort3
eWAMRSDoiME,5580,33,0,2026-05-14 08:05:26.877501,cohort3
J1Z43pWRbs8,5291,460,3,2026-05-14 08:05:26.877501,cohort3
QNUmLNGoO9Y,3194,46,0,2026-05-14 08:05:26.877501,cohort3
8c1bpP2kK-4,6071,10,1,2026-05-14 08:05:26.877501,cohort3
kRRcjQvOEAU,4259,35,0,2026-05-14 08:05:26.877501,cohort3
gKgqRlV7IeI,3089,92,0,2026-05-14 08:05:26.877501,cohort3
ilVbxQ1917I,5309,16,1,2026-05-14 08:05:26.877501,cohort3
WvKYodJWB8E,5009,24,0,2026-05-14 08:05:26.877501,cohort3
7KK4YdUsrro,3415,43,0,2026-05-14 08:05:26.877501,cohort3
FNyE65wSiHU,4194,0,18,2026-05-14 08:05:26.877501,cohort3
T_UiMBuz-7c,2538,102,3,2026-05-14 08:05:26.877501,cohort3
1K_ef78I-cs,7168,22,0,2026-05-14 08:05:26.877501,cohort3
5034udlayJQ,2771,19,0,2026-05-14 08:05:26.877501,cohort3
JKQrM8LAkRE,1675,0,1,2026-05-14 08:05:26.877501,cohort3
A0TZh9YSeUI,3958,17,0,2026-05-14 08:05:26.877501,cohort3
gO3V_8KY3b0,6632,38,4,2026-05-14 08:05:26.877501,cohort3
u7TFph_gQTY,2166,16,1,2026-05-14 08:05:26.877501,cohort3
xl8d10ISvG4,8714,203,5,2026-05-14 08:05:26.877501,cohort3
xgQegicuO3M,3871,227,10,2026-05-14 08:05:26.877501,cohort3
Yzq0fac9PX8,1287,48,0,2026-05-14 08:05:26.877501,cohort3
1I3VCOl4ysQ,3625,84,0,2026-05-14 08:05:26.877501,cohort3
HS0kzb8ylHU,9663,407,1,2026-05-14 08:05:26.877501,cohort3
qf4Gs6L1DUw,2755,57,10,2026-05-14 08:05:26.877501,cohort3
