video_id,views,likes,comments,tracked_at,cohort_id
UrYd6pv_5YU,254398,6743,65,2026-05-14 03:09:18.154937,cohort2
p9hzj2obBGM,133175,1281,299,2026-05-14 03:09:18.154937,cohort2
N2oatSnOry0,116544,1807,6,2026-05-14 03:09:18.154937,cohort2
69JJjFDEWYw,83907,669,2,2026-05-14 03:09:18.154937,cohort2
chlx1pZseTs,104034,2643,18,2026-05-14 03:09:18.154937,cohort2
ImGnYf_QxSg,117939,2629,2,2026-05-14 03:09:18.154937,cohort2
fwhaVyv9e7Y,118241,0,8,2026-05-14 03:09:18.154937,cohort2
tZz0NH8DD40,69390,543,0,2026-05-14 03:09:18.154937,cohort2
NPiiQAy32Dg,106191,3691,53,2026-05-14 03:09:18.154937,cohort2
nMHsbiPCYwY,267528,13155,133,2026-05-14 03:09:18.154937,cohort2
_y3WWm9pGrg,63703,5855,22,2026-05-14 03:09:18.154937,cohort2
cH8KWOZ5C78,68654,895,9,2026-05-14 03:09:18.154937,cohort2
S-yGyPIaqCg,188402,3508,63,2026-05-14 03:09:18.154937,cohort2
ZKVhR0bmOHI,63253,1047,5,2026-05-14 03:09:18.154937,cohort2
tNLBn5c338U,225233,6734,55,2026-05-14 03:09:18.154937,cohort2
ovLhD4kAFpM,66222,1402,41,2026-05-14 03:09:18.154937,cohort2
FIjlwByE538,37585,1782,33,2026-05-14 03:09:18.154937,cohort2
_k-Gjv1bUmM,63327,1972,53,2026-05-14 03:09:18.154937,cohort2
cboM6w8VVoM,25811,3817,116,2026-05-14 03:09:18.154937,cohort2
3fZF_dlmebs,60106,610,16,2026-05-14 03:09:18.154937,cohort2
CGRqm8B47ks,34480,0,0,2026-05-14 03:09:18.154937,cohort2
Ym1XI1aoJVU,39348,0,29,2026-05-14 03:09:18.154937,cohort2
vHbJ1pF4JqM,30846,824,0,2026-05-14 03:09:18.154937,cohort2
QYxPWJoDbFA,29345,1012,6,2026-05-14 03:09:18.154937,cohort2
bCvpqc-nApg,202909,0,36,2026-05-14 03:09:18.154937,cohort2
IpGaVpNzIDI,25319,457,5,2026-05-14 03:09:18.154937,cohort2
1GS-2DzPA_o,48209,514,2,2026-05-14 03:09:18.154937,cohort2
n0Cn9U7U4N8,33255,0,8,2026-05-14 03:09:18.154937,cohort2
AQCVQJf1O5M,24933,619,6,2026-05-14 03:09:18.154937,cohort2
wdmj27ME8DI,23485,92,0,2026-05-14 03:09:18.154937,cohort2
htzTFE09hmI,34805,96,1,2026-05-14 03:09:18.154937,cohort2
Ee-hdzO5A7c,14589,553,79,2026-05-14 03:09:18.154937,cohort2
uRnKJ7nkqqw,31888,76,0,2026-05-14 03:09:18.154937,cohort2
qXoyhvbbfEw,162086,4311,44,2026-05-14 03:09:18.154937,cohort2
Y7Wuh6oT3k0,17108,162,2,2026-05-14 03:09:18.154937,cohort2
6Up48gnrc7s,17806,653,8,2026-05-14 03:09:18.154937,cohort2
rMXdW6EVyBM,15031,343,53,2026-05-14 03:09:18.154937,cohort2
f03Sw9ZuVNs,15429,1345,22,2026-05-14 03:09:18.154937,cohort2
dVrWT8aPDcU,17107,123,2,2026-05-14 03:09:18.154937,cohort2
uiVPUfp7-Fo,13660,154,2,2026-05-14 03:09:18.154937,cohort2
2xqaR-_97Ng,45758,2383,22,2026-05-14 03:09:18.154937,cohort2
S0GmlfRTYRI,25384,126,1,2026-05-14 03:09:18.154937,cohort2
EyMmuu_r58w,20159,167,82,2026-05-14 03:09:18.154937,cohort2
Fzl9SJnJSPc,16648,0,0,2026-05-14 03:09:18.154937,cohort2
7bt5SUv2KQo,107594,2924,34,2026-05-14 03:09:18.154937,cohort2
oj0zTYwoELs,15365,604,3,2026-05-14 03:09:18.154937,cohort2
AkBKyOTwJyU,11202,99,1,2026-05-14 03:09:18.154937,cohort2
Ygbnj93LVDo,50669,1441,14,2026-05-14 03:09:18.154937,cohort2
t7KwtFmxSR8,11983,0,55,2026-05-14 03:09:18.154937,cohort2
1kXe4Qp74u4,9931,398,23,2026-05-14 03:09:18.154937,cohort2
h89_g4MfLs0,16198,74,0,2026-05-14 03:09:18.154937,cohort2
lgUWfH3fVvY,10364,367,0,2026-05-14 03:09:18.154937,cohort2
DKZQXIcWDsA,22080,123,2,2026-05-14 03:09:18.154937,cohort2
L1j8rXi-uXQ,9866,302,0,2026-05-14 03:09:18.154937,cohort2
jZgiOKhWpU0,20793,61,7,2026-05-14 03:09:18.154937,cohort2
N7c3v_9k0iU,15711,1929,158,2026-05-14 03:09:18.154937,cohort2
9bMUysDSQOU,10294,297,3,2026-05-14 03:09:18.154937,cohort2
cK2F4OSUZ7E,12361,167,1,2026-05-14 03:09:18.154937,cohort2
R-R6W9GHMRk,7797,112,0,2026-05-14 03:09:18.154937,cohort2
xq3JtqC2tic,7125,154,2,2026-05-14 03:09:18.154937,cohort2
