video_id,views,likes,comments,tracked_at,cohort_id
GjFwFfQGHVE,2886,12,0,2026-05-07 04:56:02.368975,cohort2
GkhDx9sHTkY,2943,27,0,2026-05-07 04:56:02.368975,cohort2
HdA-m8pxgUE,1995,0,1,2026-05-07 04:56:02.368975,cohort2
8iK0Wnbo4ss,21264,0,3,2026-05-07 04:56:02.368975,cohort2
vp8Dl8jLtpQ,3365,62,0,2026-05-07 04:56:02.368975,cohort2
KuWDY_q0cl4,12349,129,2,2026-05-07 04:56:02.368975,cohort2
JYLiA6eYotI,2710,16,0,2026-05-07 04:56:02.368975,cohort2
G1DI7TH3ORQ,1814,0,0,2026-05-07 04:56:02.368975,cohort2
GYtLVLAjkNI,2210,17,0,2026-05-07 04:56:02.368975,cohort2
z16TsgBLLuI,2317,11,0,2026-05-07 04:56:02.368975,cohort2
zkjcNg-K7aE,4492,8,0,2026-05-07 04:56:02.368975,cohort2
wG0JaQdQRR0,3744,23,0,2026-05-07 04:56:02.368975,cohort2
s8Vt0NbGg_s,2600,160,6,2026-05-07 04:56:02.368975,cohort2
d4gYEInVPdo,1642,14,0,2026-05-07 04:56:02.368975,cohort2
LMe1syOeDmg,2664,0,23,2026-05-07 04:56:02.368975,cohort2
wvlD8xtiTtU,1665,27,0,2026-05-07 04:56:02.368975,cohort2
ZElxIyXmlmA,1369,15,0,2026-05-07 04:56:02.368975,cohort2
XcB7ckJ2mfc,1093,36,3,2026-05-07 04:56:02.368975,cohort2
JPgAA56LnBI,3514,98,4,2026-05-07 04:56:02.368975,cohort2
lyFVARrR6YQ,1407,43,3,2026-05-07 04:56:02.368975,cohort2
JVEFIpEe7xs,11188,1495,17,2026-05-07 04:56:02.368975,cohort2
rhsqSBPGxAI,1231,22,0,2026-05-07 04:56:02.368975,cohort2
jLzcsR2Z88g,1795,49,0,2026-05-07 04:56:02.368975,cohort2
Rqxjw8UOioU,1159,34,7,2026-05-07 04:56:02.368975,cohort2
zXZhVRNrXTw,1879,39,0,2026-05-07 04:56:02.368975,cohort2
WYUtRxwErJc,1172,24,1,2026-05-07 04:56:02.368975,cohort2
dWrhPsuGAyM,2197,30,0,2026-05-07 04:56:02.368975,cohort2
5vVhyO64yy8,1584,15,3,2026-05-07 04:56:02.368975,cohort2
tKFhfEYdEQ4,1289,6,2,2026-05-07 04:56:02.368975,cohort2
_woibC1Uc4s,1115,25,3,2026-05-07 04:56:02.368975,cohort2
dtA1PDvWHWg,1076,26,0,2026-05-07 04:56:02.368975,cohort2
jIaFuaUQJj8,18199,863,16,2026-05-07 04:56:02.368975,cohort2
uhaJClxKvBE,1332,22,0,2026-05-07 04:56:02.368975,cohort2
BzJDnSQ2N8s,1547,0,0,2026-05-07 04:56:02.368975,cohort2
js3MDn189WY,2358,39,0,2026-05-07 04:56:02.368975,cohort2
aZTg7Y1s3i4,3113,72,1,2026-05-07 04:56:02.368975,cohort2
w959JQyRWI0,4208,60,1,2026-05-07 04:56:02.368975,cohort2
SFwOEsdSG2A,1316,30,0,2026-05-07 04:56:02.368975,cohort2
d922sHgT8x4,2647,17,2,2026-05-07 04:56:02.368975,cohort2
noyibwhlMB0,1254,8,0,2026-05-07 04:56:02.368975,cohort2
zaSnfYBNq54,1471,25,0,2026-05-07 04:56:02.368975,cohort2
Nlk40c2coj0,871,32,2,2026-05-07 04:56:02.368975,cohort2
Dv0qYHpmbh8,1448,0,0,2026-05-07 04:56:02.368975,cohort2
Ptk-QwiDcgU,2034,41,1,2026-05-07 04:56:02.368975,cohort2
h54baYCq2aA,1501,21,2,2026-05-07 04:56:02.368975,cohort2
IPyxfkHAa4M,1682,20,0,2026-05-07 04:56:02.368975,cohort2
Br1nYlc0_Sw,1653,0,1,2026-05-07 04:56:02.368975,cohort2
_hYUAJKRaF8,749,5,0,2026-05-07 04:56:02.368975,cohort2
uFH5QQjqA9E,1666,19,0,2026-05-07 04:56:02.368975,cohort2
wRw8UgMP0j4,1447,0,4,2026-05-07 04:56:02.368975,cohort2
jkbhFGwtPug,1221,11,1,2026-05-07 04:56:02.368975,cohort2
hJv1s-a3sTw,1525,9,1,2026-05-07 04:56:02.368975,cohort2
uBm3mLxD_4s,2218,11,0,2026-05-07 04:56:02.368975,cohort2
UWPwKsit0Pc,3794,70,0,2026-05-07 04:56:02.368975,cohort2
F04vTZpR1RQ,1276,11,0,2026-05-07 04:56:02.368975,cohort2
fljjVxeIGBQ,1581,30,9,2026-05-07 04:56:02.368975,cohort2
GY3QqbsE6_E,1235,25,0,2026-05-07 04:56:02.368975,cohort2
709_w_fP4MI,1425,0,0,2026-05-07 04:56:02.368975,cohort2
6IvaMcKEFZ4,1946,0,0,2026-05-07 04:56:02.368975,cohort2
AY6gZbW7fNg,5096,17,0,2026-05-07 04:56:02.368975,cohort2
cMb_3R5RNpM,1716,12,0,2026-05-07 04:56:02.368975,cohort2
B335dKT404w,1698,13,0,2026-05-07 04:56:02.368975,cohort2
3eFMDNMsCas,2899,97,2,2026-05-07 04:56:02.368975,cohort2
